id,texto,categoria,
1409,Le quitaron el movil en plena calle y salieron corriendo.,hecho_delictivo,
1410,En el trabajo se roban materiales constantemente.,hecho_delictivo,
1411,A un chamaco le quitaron la bicicleta saliendo de la escuela.,hecho_delictivo,
1412,En la tienda faltan productos pq los empleados los guardan.,hecho_delictivo,
1413,Le tumbaron el dinero en la cola sin darse cuenta.,hecho_delictivo,
1414,Se estan robando la corriente con conexiones ilegales.,hecho_delictivo,
1415,Un vecino vende pan q saca de la panaderia por la izquierda.,hecho_delictivo,
1416,Le abrieron la mochila en el transporte lleno.,hecho_delictivo,
1417,En la farmacia desaparecen medicamentos a cada rato.,hecho_delictivo,
1418,Estan sacando combustible del trabajo pa venderlo.,hecho_delictivo,
1419,Le quitaron la cadena en la calle a plena luz del dia.,hecho_delictivo,
1420,En el mercado faltan cosas pq las desvían pa afuera.,hecho_delictivo,
1421,Le robaron el celular en una fiesta sin darse cuenta.,hecho_delictivo,
1422,Se metieron en una casa vacia y robaron electrodomesticos.,hecho_delictivo,
1423,En el trabajo se pierden piezas todos los dias.,hecho_delictivo,
1424,Un tipo vendiendo leche robada por el barrio.,hecho_delictivo,
1425,Le sacaron el dinero del bolsillo en la guagua.,hecho_delictivo,
1426,En el hospital desaparecen equipos pequeños.,hecho_delictivo,
1427,Se estan llevando comida del comedor pa revender.,hecho_delictivo,
1428,Le quitaron el reloj en la calle y nadie vio nada.,hecho_delictivo,
1429,En la tienda guardan productos pa venderlos por fuera.,hecho_delictivo,
1430,Le robaron la cartera en el mercado lleno.,hecho_delictivo,
1431,Se metieron en una casa de madrugada y cargaron con todo.,hecho_delictivo,
1432,En el trabajo faltan materiales y nadie dice nada.,hecho_delictivo,
1433,Estan vendiendo carne robada en el barrio.,hecho_delictivo,
1434,Le quitaron el bolso saliendo del trabajo.,hecho_delictivo,
1435,En la bodega se pierde comida cada semana.,hecho_delictivo,
1436,Le abrieron la mochila sin darse cuenta.,hecho_delictivo,
1437,En el hospital se llevan insumos pa la calle.,hecho_delictivo,
1438,Se roban combustible del estado pa venderlo.,hecho_delictivo,
1439,Le quitaron el telefono caminando por la esquina.,hecho_delictivo,
1440,En la tienda faltan productos y nadie responde.,hecho_delictivo,
1441,Le robaron en la casa mientras estaba de viaje.,hecho_delictivo,
1442,En el trabajo desaparecen cosas pequeñas.,hecho_delictivo,
1443,Estan vendiendo productos robados por redes.,hecho_delictivo,
1444,Le quitaron el dinero saliendo del banco.,hecho_delictivo,
1445,En la farmacia faltan medicamentos basicos.,hecho_delictivo,
1446,Se roban comida del estado todos los dias.,hecho_delictivo,
1447,Le quitaron el celular en la parada.,hecho_delictivo,
1448,En el mercado faltan productos esenciales.,hecho_delictivo,
1449,Le robaron la bicicleta amarrada afuera.,hecho_delictivo,
1450,Se metieron en la casa y dejaron todo vacio.,hecho_delictivo,
1451,En la guagua le abrieron el bolso a una señora.,hecho_delictivo,
1452,Estan revendiendo pollo q sacan del almacen.,hecho_delictivo,
1453,Le quitaron los audifonos en la calle.,hecho_delictivo,
1454,En el trabajo venden piezas por la izquierda.,hecho_delictivo,
1455,Le robaron la mochila en una fiesta.,hecho_delictivo,
1456,Se metieron en una casa y cargaron con ventiladores.,hecho_delictivo,
1457,En la tienda los dependientes esconden productos.,hecho_delictivo,
1458,Le sacaron el dinero del bolso sin darse cuenta.,hecho_delictivo,
1459,En el hospital faltan guantes y materiales.,hecho_delictivo,
1460,Se roban gasolina de carros estatales.,hecho_delictivo,
1461,Le quitaron el movil en el barrio.,hecho_delictivo,
1462,En la bodega desaparece parte de la cuota.,hecho_delictivo,
1463,Le robaron el bolso en la guagua llena.,hecho_delictivo,
1464,Estan vendiendo arroz robado por fuera.,hecho_delictivo,
1465,Le quitaron la cadena en una esquina oscura.,hecho_delictivo,
1466,En el trabajo faltan herramientas.,hecho_delictivo,
1467,Le robaron el celular mientras hablaba.,hecho_delictivo,
1468,Se metieron en una casa sin rejas.,hecho_delictivo,
1469,En la farmacia desaparecen cajas completas.,hecho_delictivo,
1470,Se roban comida del comedor escolar.,hecho_delictivo,
1471,Le quitaron el dinero en la calle.,hecho_delictivo,
1472,En el mercado faltan productos básicos.,hecho_delictivo,
1473,Le robaron la bici del portal.,hecho_delictivo,
1474,Se metieron en una casa y rompieron la puerta.,hecho_delictivo,
1475,En el trabajo venden materiales robados.,hecho_delictivo,
1476,Le quitaron el celular sin darse cuenta.,hecho_delictivo,
1477,En la tienda faltan cosas siempre.,hecho_delictivo,
1478,Se roban combustible del trabajo.,hecho_delictivo,
1479,Le robaron el bolso en la parada.,hecho_delictivo,
1480,En la bodega se pierde el aceite.,hecho_delictivo,
1481,Le quitaron el reloj en la calle.,hecho_delictivo,
1482,En el hospital faltan medicinas.,hecho_delictivo,
1483,Se roban productos del almacen.,hecho_delictivo,
1484,Le quitaron el dinero en la cola.,hecho_delictivo,
1485,En la tienda esconden productos.,hecho_delictivo,
1486,Le robaron el telefono en la guagua.,hecho_delictivo,
1487,Se metieron en una casa de noche.,hecho_delictivo,
1488,En el trabajo faltan piezas.,hecho_delictivo,
1489,Le quitaron la mochila.,hecho_delictivo,
1490,En la farmacia desaparecen medicinas.,hecho_delictivo,
1491,Se roban comida del estado.,hecho_delictivo,
1492,Le quitaron el celular en la calle.,hecho_delictivo,
1493,En el mercado faltan productos.,hecho_delictivo,
1494,Le robaron la bicicleta.,hecho_delictivo,
1495,Se metieron en la casa.,hecho_delictivo,
1496,En el trabajo desaparecen cosas.,hecho_delictivo,
1497,Le quitaron el dinero.,hecho_delictivo,
1498,En la tienda faltan cosas.,hecho_delictivo,
1499,Se roban combustible.,hecho_delictivo,
1500,Le quitaron el telefono.,hecho_delictivo,
1501,Le abrieron el bolso en la guagua y ni se entero.,hecho_delictivo,
1502,Se metieron en la casa del vecino y cargaron con el televisor.,hecho_delictivo,
1503,En la cola del pan le tumbaron el monedero a una señora.,hecho_delictivo,
1504,Un socio vendiendo gasolina robada del trabajo.,hecho_delictivo,
1505,En el hospital faltan medicamentos pq alguien los saca.,hecho_delictivo,
1506,Le quitaron el movil saliendo de la parada.,hecho_delictivo,
1507,En la tienda esconden productos pa venderlos por fuera.,hecho_delictivo,
1508,Se roban el pollo del almacen y despues aparece en la calle.,hecho_delictivo,
1509,Le sacaron el dinero del bolsillo en el tumulto.,hecho_delictivo,
1510,En el trabajo se pierden herramientas todos los dias.,hecho_delictivo,
1511,Le robaron la bicicleta q tenia amarrada afuera.,hecho_delictivo,
1512,Se metieron en una casa vacia y arrasaron con todo.,hecho_delictivo,
1513,En la farmacia faltan pastillas basicas.,hecho_delictivo,
1514,Estan desviando combustible pa venderlo por la izquierda.,hecho_delictivo,
1515,Le quitaron la cadena caminando por el barrio.,hecho_delictivo,
1516,En la bodega desaparece parte de la cuota cada mes.,hecho_delictivo,
1517,Le abrieron la mochila en la guagua llena.,hecho_delictivo,
1518,En el hospital se llevan insumos pa afuera.,hecho_delictivo,
1519,Se roban sacos de arroz del almacen estatal.,hecho_delictivo,
1520,Le quitaron el celular en una esquina oscura.,hecho_delictivo,
1521,En la tienda faltan productos sin explicacion.,hecho_delictivo,
1522,Le robaron la cartera en el mercado lleno.,hecho_delictivo,
1523,Se metieron en una casa de madrugada y rompieron la puerta.,hecho_delictivo,
1524,En el trabajo venden materiales por la izquierda.,hecho_delictivo,
1525,Le sacaron el dinero sin darse cuenta en la cola.,hecho_delictivo,
1526,En la farmacia desaparecen cajas completas.,hecho_delictivo,
1527,Se llevan comida del comedor pa revenderla.,hecho_delictivo,
1528,Le quitaron el reloj en plena calle.,hecho_delictivo,
1529,En el mercado faltan productos pq los desvían.,hecho_delictivo,
1530,Le robaron el telefono en una fiesta.,hecho_delictivo,
1531,Se metieron en una casa y cargaron con ventiladores.,hecho_delictivo,
1532,En el trabajo faltan piezas importantes.,hecho_delictivo,
1533,Estan vendiendo carne robada por el barrio.,hecho_delictivo,
1534,Le quitaron el bolso saliendo del trabajo.,hecho_delictivo,
1535,En la bodega se pierde aceite constantemente.,hecho_delictivo,
1536,Le abrieron la mochila sin q se diera cuenta.,hecho_delictivo,
1537,En el hospital faltan guantes y materiales.,hecho_delictivo,
1538,Se roban gasolina de carros estatales.,hecho_delictivo,
1539,Le quitaron el telefono caminando por la calle.,hecho_delictivo,
1540,En la tienda faltan productos y nadie da explicacion.,hecho_delictivo,
1541,Le robaron en la casa mientras estaba fuera.,hecho_delictivo,
1542,En el trabajo desaparecen herramientas pequeñas.,hecho_delictivo,
1543,Estan revendiendo productos robados en redes.,hecho_delictivo,
1544,Le quitaron el dinero saliendo del banco.,hecho_delictivo,
1545,En la farmacia faltan medicamentos esenciales.,hecho_delictivo,
1546,Se roban comida del estado todos los dias.,hecho_delictivo,
1547,Le quitaron el celular en la parada llena.,hecho_delictivo,
1548,En el mercado faltan cosas basicas.,hecho_delictivo,
1549,Le robaron la bicicleta del portal.,hecho_delictivo,
1550,Se metieron en la casa y dejaron todo vacio.,hecho_delictivo,
1551,En la guagua le abrieron el bolso a una muchacha.,hecho_delictivo,
1552,Estan vendiendo pollo robado del almacen.,hecho_delictivo,
1553,Le quitaron los audifonos en la calle.,hecho_delictivo,
1554,En el trabajo venden piezas por fuera.,hecho_delictivo,
1555,Le robaron la mochila en una actividad.,hecho_delictivo,
1556,Se metieron en una casa y cargaron con equipos.,hecho_delictivo,
1557,En la tienda los dependientes esconden mercancía.,hecho_delictivo,
1558,Le sacaron el dinero del bolso en la guagua.,hecho_delictivo,
1559,En el hospital faltan recursos basicos.,hecho_delictivo,
1560,Se roban combustible del estado pa venderlo.,hecho_delictivo,
1561,Le quitaron el movil en el barrio.,hecho_delictivo,
1562,En la bodega desaparece el azucar.,hecho_delictivo,
1563,Le robaron el bolso en la parada.,hecho_delictivo,
1564,Estan vendiendo arroz robado por fuera.,hecho_delictivo,
1565,Le quitaron la cadena en una esquina.,hecho_delictivo,
1566,En el trabajo faltan herramientas importantes.,hecho_delictivo,
1567,Le robaron el celular mientras caminaba.,hecho_delictivo,
1568,Se metieron en una casa sin proteccion.,hecho_delictivo,
1569,En la farmacia desaparecen medicinas completas.,hecho_delictivo,
1570,Se roban comida del comedor escolar.,hecho_delictivo,
1571,Le quitaron el dinero en la calle sin q se diera cuenta.,hecho_delictivo,
1572,En el mercado faltan productos esenciales.,hecho_delictivo,
1573,Le robaron la bici del patio.,hecho_delictivo,
1574,Se metieron en una casa y rompieron la reja.,hecho_delictivo,
1575,En el trabajo venden materiales robados.,hecho_delictivo,
1576,Le quitaron el celular en el transporte.,hecho_delictivo,
1577,En la tienda faltan cosas constantemente.,hecho_delictivo,
1578,Se roban combustible del trabajo estatal.,hecho_delictivo,
1579,Le robaron el bolso en la guagua.,hecho_delictivo,
1580,En la bodega se pierde el arroz.,hecho_delictivo,
1581,Le quitaron el reloj caminando.,hecho_delictivo,
1582,En el hospital faltan medicinas basicas.,hecho_delictivo,
1583,Se roban productos del almacen estatal.,hecho_delictivo,
1584,Le quitaron el dinero en la cola del mercado.,hecho_delictivo,
1585,En la tienda esconden productos pa revender.,hecho_delictivo,
1586,Le robaron el telefono en la parada.,hecho_delictivo,
1587,Se metieron en una casa en la madrugada.,hecho_delictivo,
1588,En el trabajo faltan piezas constantemente.,hecho_delictivo,
1589,Le quitaron la mochila en la calle.,hecho_delictivo,
1590,En la farmacia desaparecen medicinas sin control.,hecho_delictivo,
1591,Se roban comida del estado sin control.,hecho_delictivo,
1592,Le quitaron el celular en el barrio.,hecho_delictivo,
1593,En el mercado faltan productos importantes.,hecho_delictivo,
1594,Le robaron la bicicleta amarrada.,hecho_delictivo,
1595,Se metieron en la casa y se llevaron equipos.,hecho_delictivo,
1596,En el trabajo desaparecen cosas utiles.,hecho_delictivo,
1597,Le quitaron el dinero caminando.,hecho_delictivo,
1598,En la tienda faltan productos basicos.,hecho_delictivo,
1599,Se roban combustible constantemente.,hecho_delictivo,
1600,Le quitaron el telefono en la calle sin reaccionar.,hecho_delictivo,
1601,En el grupo estaban diciendo q habia gente llamando a caerle a una tienda.,hecho_delictivo,
1602,Dicen q por redes andan organizando gente pa hacer desorden en la calle.,hecho_delictivo,
1603,Se comenta q anoche varios estaban hablando de salir a romper cosas.,hecho_delictivo,
1604,En el barrio corrió el rumor de q iban a meterse en una tienda.,hecho_delictivo,
1605,Habia gente calentando la cabeza pa q otros hicieran locuras.,hecho_delictivo,
1606,En redes vi q algunos estaban promoviendo salir a formar lio.,hecho_delictivo,
1607,Dicen q habia un grupo planificando hacer destrozos.,hecho_delictivo,
1608,Escuche q estaban hablando de armar problema en la noche.,hecho_delictivo,
1609,En un chat estaban diciendo q habia q salir a protestar fuerte.,hecho_delictivo,
1610,Se estaba regando un mensaje raro de gente queriendo formar caos.,hecho_delictivo,
1611,En el barrio comentaban q unos cuantos querian armar desorden.,hecho_delictivo,
1612,Habia comentarios incitando a hacer cosas ilegales en la calle.,hecho_delictivo,
1613,Dicen q alguien estaba convocando a reunirse pa hacer lio.,hecho_delictivo,
1614,En redes se veia gente calentando el ambiente.,hecho_delictivo,
1615,Se escucho q estaban organizando algo pa la noche.,hecho_delictivo,
1616,Unos socios estaban hablando de hacer algo grande en la calle.,hecho_delictivo,
1617,Se rego un audio con gente llamando a hacer desorden.,hecho_delictivo,
1618,En un grupo estaban diciendo q habia q salir pa la calle.,hecho_delictivo,
1619,Dicen q varios estaban planeando hacer daño a propiedades.,hecho_delictivo,
1620,Se comenta q alguien estaba empujando a otros a hacer locuras.,hecho_delictivo,
1621,En el barrio habia tension pq decian q iban a formar lio.,hecho_delictivo,
1622,Habia gente hablando de organizarse pa algo ilegal.,hecho_delictivo,
1623,En redes estaban soltando mensajes raros de provocacion.,hecho_delictivo,
1624,Se escucho q estaban armando un grupo pa hacer problemas.,hecho_delictivo,
1625,Dicen q habia planes de hacer desorden en la zona.,hecho_delictivo,
1626,En un chat estaban calentando a la gente.,hecho_delictivo,
1627,Se regaron mensajes incitando a hacer cosas malas.,hecho_delictivo,
1628,Habia comentarios pidiendo salir a la calle a hacer lio.,hecho_delictivo,
1629,Dicen q estaban tratando de convencer a otros pa hacer algo ilegal.,hecho_delictivo,
1630,Se escucho q habia convocatoria pa formar problema.,hecho_delictivo,
1631,En redes habia gente promoviendo desorden.,hecho_delictivo,
1632,Un audio corria diciendo q habia q salir esa noche.,hecho_delictivo,
1633,Dicen q habia un grupo empujando a otros a hacer locuras.,hecho_delictivo,
1634,Se hablaba de organizar gente pa la calle.,hecho_delictivo,
1635,En el barrio se sentia q algo se estaba cocinando.,hecho_delictivo,
1636,Habia gente diciendo q habia q hacer algo fuerte.,hecho_delictivo,
1637,Se regaron comentarios de gente incitando problemas.,hecho_delictivo,
1638,Dicen q estaban planificando hacer disturbios.,hecho_delictivo,
1639,En redes algunos llamaban a salir a la calle.,hecho_delictivo,
1640,Se escucho q habia tension por posibles problemas.,hecho_delictivo,
1641,Unos cuantos estaban diciendo q habia q actuar.,hecho_delictivo,
1642,En un grupo estaban incitando a hacer desorden.,hecho_delictivo,
1643,Se rego informacion de gente queriendo formar caos.,hecho_delictivo,
1644,Dicen q habia convocatoria pa reunirse en la noche.,hecho_delictivo,
1645,Habia comentarios de gente queriendo hacer problemas.,hecho_delictivo,
1646,En el barrio estaban alertas por rumores de lio.,hecho_delictivo,
1647,Se escucho q habia gente llamando a salir.,hecho_delictivo,
1648,En redes se veian mensajes provocadores.,hecho_delictivo,
1649,Dicen q habia intenciones de armar desorden.,hecho_delictivo,
1650,Se hablaba de formar problema en la calle.,hecho_delictivo,
1651,Un tipo vendiendo dolares falsos en la calle.,hecho_delictivo,
1652,En el trabajo estan desviando recursos pa venderlos.,hecho_delictivo,
1653,Le cobraron por un tramite q era gratis.,hecho_delictivo,
1654,Un inspector pidiendo dinero pa no multar.,hecho_delictivo,
1655,Estan revendiendo gasolina por la izquierda.,hecho_delictivo,
1656,Le vendieron un telefono roto como nuevo.,hecho_delictivo,
1657,Un chofer cobrando mas caro a proposito.,hecho_delictivo,
1658,En la farmacia venden medicamentos por fuera.,hecho_delictivo,
1659,Le hicieron una transferencia falsa.,hecho_delictivo,
1660,Un vecino vendiendo carne robada.,hecho_delictivo,
1661,En el hospital piden dinero pa atender rapido.,hecho_delictivo,
1662,Le vendieron comida en mal estado.,hecho_delictivo,
1663,Un funcionario usando recursos del estado pa su negocio.,hecho_delictivo,
1664,Estan falsificando documentos en el trabajo.,hecho_delictivo,
1665,Le cobraron de mas en una tienda.,hecho_delictivo,
1666,Un tipo vendiendo paquetes ilegales de internet.,hecho_delictivo,
1667,En la escuela piden dinero pa aprobar.,hecho_delictivo,
1668,Le hicieron una estafa por redes.,hecho_delictivo,
1669,Un chofer recogiendo pasajeros sin licencia.,hecho_delictivo,
1670,Estan desviando productos del almacen estatal.,hecho_delictivo,
1671,Le vendieron una moto sin papeles.,hecho_delictivo,
1672,Un medico cobrando por fuera.,hecho_delictivo,
1673,En la oficina venden turnos.,hecho_delictivo,
1674,Le vendieron ropa defectuosa como nueva.,hecho_delictivo,
1675,Un inspector aceptando sobornos.,hecho_delictivo,
1676,Estan revendiendo comida a sobreprecio.,hecho_delictivo,
1677,Le vendieron un servicio falso.,hecho_delictivo,
1678,Un tipo engañando con alquileres.,hecho_delictivo,
1679,En el trabajo manipulan inventario.,hecho_delictivo,
1680,Le cobraron por algo q no hicieron.,hecho_delictivo,
1681,Un socio vendiendo productos robados.,hecho_delictivo,
1682,Estan vendiendo gasolina adulterada.,hecho_delictivo,
1683,Le vendieron un celular bloqueado.,hecho_delictivo,
1684,Un funcionario desviando dinero.,hecho_delictivo,
1685,En el hospital desaparecen equipos.,hecho_delictivo,
1686,Le pidieron dinero pa resolver un problema.,hecho_delictivo,
1687,Un tipo vendiendo documentos falsos.,hecho_delictivo,
1688,Estan haciendo fraude con tarjetas.,hecho_delictivo,
1689,Le vendieron comida vencida.,hecho_delictivo,
1690,Un chofer cobrando doble.,hecho_delictivo,
1691,En la tienda esconden productos.,hecho_delictivo,
1692,Le hicieron una estafa con transfermovil.,hecho_delictivo,
1693,Un vecino vendiendo productos ilegales.,hecho_delictivo,
1694,Estan desviando recursos del estado.,hecho_delictivo,
1695,Le vendieron algo defectuoso.,hecho_delictivo,
1696,Un inspector pidiendo dinero.,hecho_delictivo,
1697,En la farmacia faltan medicamentos.,hecho_delictivo,
1698,Le cobraron de mas en un servicio.,hecho_delictivo,
1699,Un tipo vendiendo dinero falso.,hecho_delictivo,
1700,Estan manipulando cuentas en el trabajo.,hecho_delictivo,
1701,Le vendieron piezas malas pa el carro.,hecho_delictivo,
1702,Un medico cobrando consulta por fuera.,hecho_delictivo,
1703,En la escuela venden notas.,hecho_delictivo,
1704,Le hicieron estafa con recarga.,hecho_delictivo,
1705,Un funcionario corrupto desviando fondos.,hecho_delictivo,
1706,Estan revendiendo medicamentos.,hecho_delictivo,
1707,Le vendieron producto robado.,hecho_delictivo,
1708,Un chofer trabajando ilegal.,hecho_delictivo,
1709,En el hospital cobran por servicios.,hecho_delictivo,
1710,Le pidieron dinero pa un tramite.,hecho_delictivo,
1711,Un inspector aceptando pagos ilegales.,hecho_delictivo,
1712,Estan vendiendo gasolina del estado.,hecho_delictivo,
1713,Le vendieron algo falso.,hecho_delictivo,
1714,Un tipo engañando con ventas online.,hecho_delictivo,
1715,En el trabajo inflan gastos.,hecho_delictivo,
1716,Le cobraron sin motivo.,hecho_delictivo,
1717,Un vecino vendiendo cosas ilegales.,hecho_delictivo,
1718,Estan revendiendo productos básicos.,hecho_delictivo,
1719,Le vendieron telefono defectuoso.,hecho_delictivo,
1720,Un medico cobrando por fuera.,hecho_delictivo,
1721,En la oficina venden turnos.,hecho_delictivo,
1722,Le hicieron estafa con transferencia.,hecho_delictivo,
1723,Un tipo documentos falsos.,hecho_delictivo,
1724,Estan manipulando datos.,hecho_delictivo,
1725,Le vendieron comida mala.,hecho_delictivo,
1726,Un chofer ilegal.,hecho_delictivo,
1727,En el hospital piden dinero.,hecho_delictivo,
1728,Le pidieron dinero pa resolver.,hecho_delictivo,
1729,Un inspector corrupto.,hecho_delictivo,
1730,Estan desviando productos.,hecho_delictivo,
1731,Le vendieron algo defectuoso.,hecho_delictivo,
1732,Un tipo engañando clientes.,hecho_delictivo,
1733,En el trabajo hay fraude.,hecho_delictivo,
1734,Le cobraron de mas.,hecho_delictivo,
1735,Un socio vendiendo ilegal.,hecho_delictivo,
1736,Estan revendiendo.,hecho_delictivo,
1737,Le vendieron telefono malo.,hecho_delictivo,
1738,Un medico cobrando.,hecho_delictivo,
1739,En la oficina venden turnos.,hecho_delictivo,
1740,Le hicieron estafa.,hecho_delictivo,
1741,Un tipo documentos falsos.,hecho_delictivo,
1742,Estan manipulando.,hecho_delictivo,
1743,Le vendieron comida mala.,hecho_delictivo,
1744,Un chofer ilegal.,hecho_delictivo,
1745,En el hospital cobran.,hecho_delictivo,
1746,Le pidieron dinero.,hecho_delictivo,
1747,Un inspector corrupto.,hecho_delictivo,
1748,Estan desviando.,hecho_delictivo,
1749,Le vendieron defectuoso.,hecho_delictivo,
1750,Un tipo engañando.,hecho_delictivo,
1751,En el trabajo inflan cuentas.,hecho_delictivo,
1752,Le cobraron servicio falso.,hecho_delictivo,
1753,Un vecino vendiendo ilegal.,hecho_delictivo,
1754,Estan revendiendo gasolina.,hecho_delictivo,
1755,Le vendieron celular malo.,hecho_delictivo,
1756,Un medico cobrando consulta.,hecho_delictivo,
1757,En la oficina venden turnos.,hecho_delictivo,
1758,Le hicieron fraude.,hecho_delictivo,
1759,Un tipo vendiendo documentos.,hecho_delictivo,
1760,Estan manipulando datos.,hecho_delictivo,
1761,Le vendieron comida dañada.,hecho_delictivo,
1762,Un chofer ilegal.,hecho_delictivo,
1763,En el hospital cobran por todo.,hecho_delictivo,
1764,Le pidieron dinero.,hecho_delictivo,
1765,Un inspector corrupto.,hecho_delictivo,
1766,Estan desviando recursos.,hecho_delictivo,
1767,Le vendieron producto falso.,hecho_delictivo,
1768,Un tipo engañando.,hecho_delictivo,
1769,En el trabajo fraude.,hecho_delictivo,
1770,Le cobraron sin razon.,hecho_delictivo,
1771,Un socio vendiendo ilegal.,hecho_delictivo,
1772,Estan revendiendo.,hecho_delictivo,
1773,Le vendieron telefono malo.,hecho_delictivo,
1774,Un medico cobrando.,hecho_delictivo,
1775,En la oficina venden turnos.,hecho_delictivo,
1776,Le hicieron estafa.,hecho_delictivo,
1777,Un tipo documentos falsos.,hecho_delictivo,
1778,Estan manipulando.,hecho_delictivo,
1779,Le vendieron comida mala.,hecho_delictivo,
1780,Un chofer ilegal.,hecho_delictivo,
1781,En el hospital cobran.,hecho_delictivo,
1782,Le pidieron dinero.,hecho_delictivo,
1783,Un inspector corrupto.,hecho_delictivo,
1784,Estan desviando.,hecho_delictivo,
1785,Le vendieron defectuoso.,hecho_delictivo,
1786,Un tipo engañando.,hecho_delictivo,
1787,En el trabajo inflan cuentas.,hecho_delictivo,
1788,Le cobraron de mas.,hecho_delictivo,
1789,Un vecino ilegal.,hecho_delictivo,
1790,Estan revendiendo.,hecho_delictivo,
1791,Le vendieron telefono malo.,hecho_delictivo,
1792,Un medico cobrando.,hecho_delictivo,
1793,En la oficina venden turnos.,hecho_delictivo,
1794,Le hicieron estafa.,hecho_delictivo,
1795,Un tipo documentos falsos.,hecho_delictivo,
1796,Estan manipulando.,hecho_delictivo,
1797,Le vendieron comida mala.,hecho_delictivo,
1798,Un chofer ilegal.,hecho_delictivo,
1799,En el hospital cobran.,hecho_delictivo,
1800,Le pidieron dinero.,hecho_delictivo,
1801,no se q bolá con esto,inofensivo,
1802,asere esto no carga,inofensivo,
1803,q alguien me diga q hacer plss,inofensivo,
1804,esto ta raro bro,inofensivo,
1805,no me deja entrar al sist,inofensivo,
1806,ayuda q no entiendo na,inofensivo,
1807,q hago aqui socio,inofensivo,
1808,esto sirve o no?,inofensivo,
1809,probando si esto funciona,inofensivo,
1810,asere no veo na claro,inofensivo,
1811,como se usa esto mi hermano,inofensivo,
1812,q lio con esta pagina,inofensivo,
1813,no me sale lo q busco,inofensivo,
1814,esto ta enredao,inofensivo,
1815,alguien explica rapido,inofensivo,
1816,q clase cosa es esto,inofensivo,
1817,no entiendo ni papa,inofensivo,
1818,esto es prueba nada mas,inofensivo,
1819,q hago pa seguir,inofensivo,
1820,no me carga bien esto,inofensivo,
1821,esto es un test creo,inofensivo,
1822,q alguien me oriente,inofensivo,
1823,no se pa donde voy,inofensivo,
1824,esto ta lento asere,inofensivo,
1825,q hago con esto ahora,inofensivo,
1826,necesito ayuda urgente pero normal,inofensivo,
1827,no entiendo el paso 2,inofensivo,
1828,esto me confunde pila,inofensivo,
1829,q significa esto aqui,inofensivo,
1830,alguien q me diga como es,inofensivo,
1831,no se usar esto bien,inofensivo,
1832,esto es facil o q?,inofensivo,
1833,no me queda claro,inofensivo,
1834,q alguien responda pls,inofensivo,
1835,esto ta medio raro,inofensivo,
1836,no veo opcion pa seguir,inofensivo,
1837,q hago despues de esto,inofensivo,
1838,esto no abre,inofensivo,
1839,no me deja continuar,inofensivo,
1840,q es esto mismo,inofensivo,
1841,no se si hice bien esto,inofensivo,
1842,esto es solo prueba,inofensivo,
1843,q hay q poner aqui,inofensivo,
1844,no entiendo el sistema,inofensivo,
1845,esto no funciona bien,inofensivo,
1846,q alguien me ayude con esto,inofensivo,
1847,no se donde darle click,inofensivo,
1848,esto es complicado,inofensivo,
1849,q hago pa terminar,inofensivo,
1850,no entiendo nada socio,inofensivo,
1851,esto me tiene loco,inofensivo,
1852,q alguien explique facil,inofensivo,
1853,no veo resultados,inofensivo,
1854,esto es nuevo pa mi,inofensivo,
1855,q pasa con esto,inofensivo,
1856,no se usar la pagina,inofensivo,
1857,esto esta en candela,inofensivo,
1858,q hago ahora mismo,inofensivo,
1859,no entiendo el proceso,inofensivo,
1860,esto no me deja seguir,inofensivo,
1861,q alguien diga algo,inofensivo,
1862,no me abre el link,inofensivo,
1863,esto ta mal hecho,inofensivo,
1864,q hago con esto aqui,inofensivo,
1865,no entiendo instrucciones,inofensivo,
1866,esto es raro raro,inofensivo,
1867,q alguien ayude plis,inofensivo,
1868,no se q escribir aqui,inofensivo,
1869,esto no corre bien,inofensivo,
1870,q hago despues socio,inofensivo,
1871,no entiendo esta parte,inofensivo,
1872,esto es una prueba mas,inofensivo,
1873,q alguien me guie,inofensivo,
1874,no me queda claro esto,inofensivo,
1875,esto es dificil asere,inofensivo,
1876,q hago con este paso,inofensivo,
1877,no veo como seguir,inofensivo,
1878,esto no sirve creo,inofensivo,
1879,q alguien responda rapido,inofensivo,
1880,no entiendo el final,inofensivo,
1881,esto esta confuso,inofensivo,
1882,q hago con esta opcion,inofensivo,
1883,no me deja avanzar,inofensivo,
1884,esto no es facil,inofensivo,
1885,q alguien me diga como es,inofensivo,
1886,no entiendo nada aqui,inofensivo,
1887,esto ta complicado,inofensivo,
1888,q hago con esto bro,inofensivo,
1889,no veo solucion,inofensivo,
1890,esto no ayuda mucho,inofensivo,
1891,q alguien explique mejor,inofensivo,
1892,no entiendo como enviar,inofensivo,
1893,esto no responde,inofensivo,
1894,q hago pa enviar,inofensivo,
1895,no se si esto sirve,inofensivo,
1896,esto ta medio mal,inofensivo,
1897,q alguien me diga algo,inofensivo,
1898,no entiendo los pasos,inofensivo,
1899,esto no corre,inofensivo,
1900,q hago ahora bro,inofensivo,
1901,no veo nada aqui,inofensivo,
1902,esto es complicado bro,inofensivo,
1903,q alguien ayude con esto,inofensivo,
1904,no entiendo el sistema bien,inofensivo,
1905,esto no es claro,inofensivo,
1906,q hago despues de aqui,inofensivo,
1907,no se usar esto todavia,inofensivo,
1908,esto esta enredado,inofensivo,
1909,q alguien explique paso a paso,inofensivo,
